u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
31.486,28.56,27.26,26.154,25.609,25.372,25.3138,0.2180987421516621,7993,7426,5.59114,2463111.713745271,186.1221836504638,1.4019833067918304,4.4538097089558994e-05,-8.010907106143991e-05,0.0033518611477332
32.048,28.8,27.402,25.845,25.087,24.752,24.6358,0.365302934437253,6640,2778,3.545384,2461534.376626593,1480.2067721240346,0.7787870428406177,1.780681432082065e-05,0.0081105924391391,0.0121061503592771
27.745,25.274,24.145,23.518,23.203,23.034,22.9788,0.4782479981838894,7944,7208,8.58697,2461906.4333473486,165.42377822921617,0.322097069368891,7.198845615737477e-05,0.0028391890762758,0.0016918232239741
30.072,27.327,26.086,25.159,24.702,24.495,24.4528,0.3038457463424016,7738,7334,8.38007,2462765.231906374,105.5032939708196,2.8275955087358016,7.543928886862296e-05,0.001155866869514,0.0027042900471359
30.715,27.549,26.171,24.715,24.003,23.69,23.5878,0.428699681510237,7990,7648,8.474982,2462249.7527881777,38.96665851632097,2.1528488568570303,0.0002759696020902,-0.0008176987901203,0.0061357399809493
31.15,28.264,26.977,25.931,25.415,25.19,25.1358,0.2399679054838882,6011,1835,0.9783197,2462706.176186835,7850.708423123553,0.7092742130654135,8.828839099506064e-06,0.0158195005850088,0.0085965836746054
19.617,18.586,18.466,18.511,18.589,18.616,19.1318,1.5655003204992766,7746,3163,6.386315,2462702.4474834967,840.6138017762751,0.1836802971199905,6.394633108035008e-05,0.0067379661274971,0.0107967243174039
29.821,27.026,25.768,24.804,24.327,24.115,24.0678,0.3000220407936632,6561,5657,4.339138,2462037.221930552,421.2298519338168,1.8235014839294363,4.249592972458639e-05,0.0011027067725283,0.0047406480243291
20.233,19.175,18.968,18.966,19.019,19.04,19.5068,1.449282876113149,7561,4857,7.007286,2461964.271841584,277.9703570324061,2.915945741307279,0.000167152320616,0.0134747192819469,0.0030111247645583
26.815,24.365,23.316,22.89,22.684,22.56,22.5278,0.5823085419429856,7906,7019,8.565983,2462010.883578068,100.01381355287596,0.8480730443164439,0.000146031306676,0.003079344929401,0.0060792525921414
29.812,27.142,25.925,25.019,24.573,24.367,24.3288,0.3278333720796098,7493,2900,2.395098,2461959.648969645,1164.6924795266286,2.2553900230709267,2.6640948614448595e-05,0.0009665526616629,0.0276588018685419
31.474,28.473,27.145,25.898,25.286,25.019,24.9448,0.3034961322919951,7020,3788,5.93055,2463244.3114645174,383.5413095948758,1.8227815837991648,3.228462498773657e-05,0.0173820334485363,0.0088751466092749
29.005,26.498,25.338,24.473,24.05,23.842,23.8128,0.3900795301793839,7913,7804,8.589299,2462788.518782445,51.5883012348184,1.6782317575850572,0.0001889686945388,-0.0008177009268514,0.0012034355675705
31.526,28.495,27.156,25.871,25.239,24.964,24.8848,0.3335440216340873,7246,5983,7.524491,2462869.735614616,240.05996363637672,1.8175079674189256,4.32857337755199e-05,-0.0041254114724721,0.0042051539891519
29.236,26.716,25.551,24.667,24.235,24.025,23.9968,0.3785760720575295,7930,4795,7.141005,2461533.4594952757,199.28546260020988,1.2897462928452577,5.698123176966205e-05,-0.0031435818341952,0.0209259443738809
25.357,23.043,22.1,21.759,21.602,21.502,21.5238,0.6936703967956551,2706,2045,7.205512,2461513.9706662926,527.0545723604241,0.9451371475299324,0.0001146546712504,0.0110425295150062,0.0031686216661108
30.464,27.679,26.425,25.486,25.021,24.814,24.7678,0.2931927053706905,7196,6579,6.885717,2462502.016583544,208.8349546333432,2.215401937228276,4.812784993216622e-05,0.0028969722270046,0.0016018338704309
29.809,27.182,25.98,25.082,24.64,24.433,24.3978,0.3432836829083527,7499,6540,5.228667,2463050.2416306776,173.69519397838232,1.2495625303022644,8.561657247434213e-05,0.0071861182616225,0.0031943308316506
26.969,24.524,23.479,23.058,22.856,22.733,22.7028,0.5876965765430645,7935,6015,12.31732,2462042.3848796734,179.15508990841437,0.6003342168444676,5.70095574933186e-05,0.0046459684513734,0.0047694829751496
30.944,27.786,26.411,24.964,24.257,23.946,23.8458,0.4341633512679545,7732,3368,6.216548,2461627.783124772,776.4873817747119,1.5068290953335295,1.97589761689278e-05,-0.0037416169257472,0.0121156383886883
